timestamp,device,ip,ifIndex,ifDescr,inOctets,outOctets,operStatus,sysUpTimeCentisecs
2025-11-24T16:26:41.460852,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2228489
2025-11-24T16:26:41.460852,R2,192.168.20.1,5,Null0,0,0,1,2228489
2025-11-24T16:26:45.875724,R1,192.168.10.1,1,GigabitEthernet0/0,3427143,2720816,1,2266210
2025-11-24T16:26:45.875724,R1,192.168.10.1,2,GigabitEthernet0/1,5361348,5675157,1,2266210
2025-11-24T16:26:45.875724,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2266210
2025-11-24T16:26:45.875724,R1,192.168.10.1,4,Null0,0,0,1,2266210
2025-11-24T16:26:46.306234,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2228974
2025-11-24T16:26:46.306234,R2,192.168.20.1,2,GigabitEthernet0/0,2439884,2658121,1,2228974
2025-11-24T16:26:46.306234,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256871,1,2228974
2025-11-24T16:26:46.306234,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2228974
2025-11-24T16:26:46.306234,R2,192.168.20.1,5,Null0,0,0,1,2228974
2025-11-24T16:26:50.723665,R1,192.168.10.1,1,GigabitEthernet0/0,3429433,2723045,1,2266692
2025-11-24T16:26:50.723665,R1,192.168.10.1,2,GigabitEthernet0/1,5365338,5679432,1,2266692
2025-11-24T16:26:50.723665,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2266692
2025-11-24T16:26:50.723665,R1,192.168.10.1,4,Null0,0,0,1,2266692
2025-11-24T16:26:51.131738,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2229457
2025-11-24T16:26:51.131738,R2,192.168.20.1,2,GigabitEthernet0/0,2442053,2660471,1,2229457
2025-11-24T16:26:51.131738,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256931,1,2229457
2025-11-24T16:26:51.131738,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2229457
2025-11-24T16:26:51.131738,R2,192.168.20.1,5,Null0,0,0,1,2229457
2025-11-24T16:26:55.560114,R1,192.168.10.1,1,GigabitEthernet0/0,3432094,2725214,1,2267176
2025-11-24T16:26:55.560114,R1,192.168.10.1,2,GigabitEthernet0/1,5369817,5684018,1,2267176
2025-11-24T16:26:55.560114,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2267176
2025-11-24T16:26:55.560114,R1,192.168.10.1,4,Null0,0,0,1,2267176
2025-11-24T16:26:55.964400,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2229941
2025-11-24T16:26:55.964400,R2,192.168.20.1,2,GigabitEthernet0/0,2444222,2663132,1,2229941
2025-11-24T16:26:55.964400,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256931,1,2229941
2025-11-24T16:26:55.964400,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2229941
2025-11-24T16:26:55.964400,R2,192.168.20.1,5,Null0,0,0,1,2229941
2025-11-24T16:27:00.394024,R1,192.168.10.1,1,GigabitEthernet0/0,3434384,2727443,1,2267659
2025-11-24T16:27:00.394024,R1,192.168.10.1,2,GigabitEthernet0/1,5373807,5688293,1,2267659
2025-11-24T16:27:00.394024,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2267659
2025-11-24T16:27:00.394024,R1,192.168.10.1,4,Null0,0,0,1,2267659
2025-11-24T16:27:00.797780,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2230424
2025-11-24T16:27:00.797780,R2,192.168.20.1,2,GigabitEthernet0/0,2446391,2665482,1,2230424
2025-11-24T16:27:00.797780,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256991,1,2230424
2025-11-24T16:27:00.797780,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2230424
2025-11-24T16:27:00.797780,R2,192.168.20.1,5,Null0,0,0,1,2230424
2025-11-24T16:27:05.223926,R1,192.168.10.1,1,GigabitEthernet0/0,3436674,2729612,1,2268144
2025-11-24T16:27:05.223926,R1,192.168.10.1,2,GigabitEthernet0/1,5377797,5692508,1,2268144
2025-11-24T16:27:05.223926,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2268144
2025-11-24T16:27:05.223926,R1,192.168.10.1,4,Null0,0,0,1,2268144
2025-11-24T16:27:05.653724,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2230909
2025-11-24T16:27:05.653724,R2,192.168.20.1,2,GigabitEthernet0/0,2448560,2667772,1,2230909
2025-11-24T16:27:05.653724,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256991,1,2230909
2025-11-24T16:27:05.653724,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2230909
2025-11-24T16:27:05.653724,R2,192.168.20.1,5,Null0,0,0,1,2230909
2025-11-24T16:27:10.078807,R1,192.168.10.1,1,GigabitEthernet0/0,3438964,2731841,1,2268630
2025-11-24T16:27:10.078807,R1,192.168.10.1,2,GigabitEthernet0/1,5381787,5696783,1,2268630
2025-11-24T16:27:10.078807,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2268630
2025-11-24T16:27:10.078807,R1,192.168.10.1,4,Null0,0,0,1,2268630
2025-11-24T16:27:10.507628,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2231393
2025-11-24T16:27:10.507628,R2,192.168.20.1,2,GigabitEthernet0/0,2450729,2670122,1,2231393
2025-11-24T16:27:10.507628,R2,192.168.20.1,3,GigabitEthernet0/1,80734,257051,1,2231393
2025-11-24T16:27:10.507628,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2231393
2025-11-24T16:27:10.507628,R2,192.168.20.1,5,Null0,0,0,1,2231393
2025-11-24T16:27:14.918988,R1,192.168.10.1,1,GigabitEthernet0/0,3441254,2734010,1,2269112
2025-11-24T16:27:14.918988,R1,192.168.10.1,2,GigabitEthernet0/1,5385837,5701058,1,2269112
2025-11-24T16:27:14.918988,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2269112
2025-11-24T16:27:14.918988,R1,192.168.10.1,4,Null0,0,0,1,2269112
2025-11-24T16:27:15.331640,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2231878
2025-11-24T16:27:15.331640,R2,192.168.20.1,2,GigabitEthernet0/0,2452898,2672412,1,2231878
2025-11-24T16:27:15.331640,R2,192.168.20.1,3,GigabitEthernet0/1,80734,257051,1,2231878
2025-11-24T16:27:15.331640,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2231878
2025-11-24T16:27:15.331640,R2,192.168.20.1,5,Null0,0,0,1,2231878
2025-11-24T16:27:19.766006,R1,192.168.10.1,1,GigabitEthernet0/0,3443544,2736239,1,2269597
2025-11-24T16:27:19.766006,R1,192.168.10.1,2,GigabitEthernet0/1,5389827,5705333,1,2269597
2025-11-24T16:27:19.766006,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2269597
2025-11-24T16:27:19.766006,R1,192.168.10.1,4,Null0,0,0,1,2269597
2025-11-24T16:27:20.177144,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2232363
2025-11-24T16:27:20.177144,R2,192.168.20.1,2,GigabitEthernet0/0,2455067,2674762,1,2232363
2025-11-24T16:27:20.177144,R2,192.168.20.1,3,GigabitEthernet0/1,80734,257111,1,2232363
2025-11-24T16:27:20.177144,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2232363
2025-11-24T16:27:20.177144,R2,192.168.20.1,5,Null0,0,0,1,2232363
2025-11-24T16:27:24.615071,R1,192.168.10.1,1,GigabitEthernet0/0,3445834,2738408,1,2270093
2025-11-24T16:27:24.615071,R1,192.168.10.1,2,GigabitEthernet0/1,5393865,5709548,1,2270093
2025-11-24T16:27:24.615071,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2270093
2025-11-24T16:27:24.615071,R1,192.168.10.1,4,Null0,0,0,1,2270093
2025-11-24T16:27:25.136263,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2232857
2025-11-24T16:27:25.136263,R2,192.168.20.1,2,GigabitEthernet0/0,2457236,2677052,1,2232857
2025-11-24T16:27:25.136263,R2,192.168.20.1,3,GigabitEthernet0/1,80734,257482,1,2232857
2025-11-24T16:27:25.136263,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2232857
2025-11-24T16:27:25.136263,R2,192.168.20.1,5,Null0,0,0,1,2232857
2025-11-24T16:27:29.552460,R1,192.168.10.1,1,GigabitEthernet0/0,3448124,2740637,1,2270574
2025-11-24T16:27:29.552460,R1,192.168.10.1,2,GigabitEthernet0/1,5397855,5713823,1,2270574
2025-11-24T16:27:29.552460,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2270574
2025-11-24T16:27:29.552460,R1,192.168.10.1,4,Null0,0,0,1,2270574
2025-11-24T16:27:29.951647,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2233336
2025-11-24T16:27:29.951647,R2,192.168.20.1,2,GigabitEthernet0/0,2459405,2679402,1,2233336
2025-11-24T16:27:29.951647,R2,192.168.20.1,3,GigabitEthernet0/1,80734,257542,1,2233336
2025-11-24T16:27:29.951647,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2233336
2025-11-24T16:27:29.951647,R2,192.168.20.1,5,Null0,0,0,1,2233336
2025-11-24T16:27:34.345090,R1,192.168.10.1,1,GigabitEthernet0/0,3450414,2742883,1,2271056
2025-11-24T16:27:34.345090,R1,192.168.10.1,2,GigabitEthernet0/1,5401845,5718115,1,2271056
2025-11-24T16:27:34.345090,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2271056
2025-11-24T16:27:34.345090,R1,192.168.10.1,4,Null0,0,0,1,2271056
2025-11-24T16:27:34.765944,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2233819
2025-11-24T16:27:34.765944,R2,192.168.20.1,2,GigabitEthernet0/0,2461574,2681692,1,2233819
2025-11-24T16:27:34.765944,R2,192.168.20.1,3,GigabitEthernet0/1,80734,257542,1,2233819
